SMILES,animalic&ambery,sweety&gourmand,floral,fruity&vegetable,pungent&disagreetable,green&herbal,nutty,woody&mossy,resinous&balsamic,cooked,odorless,spice
CCOC(=O)C(C)C,0,1,0,,,0,0,,0,0,0,
CCCCCC[C@@H]1CCCC(=O)O1,0,1,0,,0,0,0,0,0,0,0,0
CCCCCC1OCC(C)O1,0,,0,1,,1,0,0,0,0,0,
CC(=O)C=Cc1ccccc1,0,,1,,,,0,0,,,0,
O.O=C([O-])C[NH+](CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+],0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCCCCCCCCCCCOP(=O)(O)O,0,0,0,0,0,0,0,0,0,0,1,0
C=CC(OC(C)=O)c1ccccc1,0,1,1,,0,0,0,0,1,0,0,0
C=C1CCC2OC2(C)CCC2C1CC2(C)C,0,1,0,0,0,,0,,0,0,0,
CCCCCSSCCCCC,,0,0,1,1,1,0,0,0,1,0,0
CC1=CC[C@@H]2[C@H](C1)C2(C)C,0,0,0,,0,0,0,0,0,0,0,0
CCO[C@@H]1C[C@H](C)CC(C)(C)C1,0,0,0,1,0,1,0,1,0,0,0,0
CC(C)=CCCC(C)CCCC(C)C=O,0,0,,0,,,0,,,0,0,0
CC(C)CC(=O)C(=O)O,0,0,0,,0,0,0,0,0,0,0,0
CCCCOCOCCCC,0,0,0,,,0,0,0,0,0,0,0
Cc1occc1SC(C(=O)CC(C)C)C(C)C,,,0,0,,0,0,0,0,,0,0
C/C=C/C(=O)OC(C)C1CCCCC1,0,1,,1,0,1,0,,0,,0,0
CCCCCCCCC=CC=CC=CC=O,,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(C)C=O)cc1,0,,,0,0,1,0,1,0,0,0,0
Cc1cccc(OC(=O)Cc2ccccc2)c1,,,,,0,,0,,0,0,0,0
C1SSCSSS1,0,0,0,1,,0,0,,0,0,0,0
C=C(C)[C@H]1CC(=O)[C@@]2(C)O[C@H]2C1,0,,0,0,,,0,0,0,0,0,
COc1ccc(C=CC(=O)NCCc2ccc(OC)c(OC)c2)cc1OC,,0,0,0,0,0,0,0,0,1,0,0
CCC1OC(=O)C(O)=C1C,0,,0,,0,,,,0,,0,
CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1,0,,,,0,,0,0,0,0,0,0
CCCCCCCCCC1OCC(C)O1,0,0,1,,0,1,0,0,0,0,0,0
CC(=O)c1cc2ccccc2o1,0,,1,,0,,0,0,0,0,0,0
O=C1[N-]S(=O)(=O)c2ccccc21.[K+],0,0,0,0,0,0,0,0,0,0,1,0
CCCSSc1ccoc1C,,,0,0,0,0,0,0,0,,0,0
CC(C)c1ccccc1,0,0,0,0,,,0,0,0,0,0,
O=C([O-])/C=C/C(=O)[O-].[Na+].[Na+],0,0,0,0,0,0,0,0,0,0,1,0
CC[C@H](C)C(=O)O,0,1,0,,0,0,0,0,0,0,0,0
CC1CCCCCCCCc2cccc(n2)C1,0,0,0,0,0,0,0,0,0,0,1,0
CC/C=C/CCOC(=O)CCC(C)=O,0,1,0,1,0,1,0,1,0,,0,0
CCC/C=C/C(=O)OCCCCCC,,,0,,0,1,0,0,0,0,0,0
C=C/C(C)=C\CC=C(C)C,0,,,,0,1,0,0,0,0,0,0
SCS,,0,0,0,,0,0,0,0,,0,0
CCCCCCCCCCC(=O)OC,,,,,0,0,0,,0,0,0,0
CCCCCCCCCOC(=O)CCCCCCC,,,1,,0,0,0,,0,,0,0
CC(=O)OC1(C)CCCC(C)(C)C12CCC(C)O2,0,,,,0,,0,,0,0,0,0
CCOC(=O)C1C(C)CCCC1(C)C,1,0,1,,0,0,0,0,1,0,0,0
CCCCCCCCC(=O)OCCC,0,,,1,,0,0,,0,,0,0
OCCCCCCc1ccccc1,0,0,1,1,0,1,0,0,0,0,0,0
Cc1ccc2c(c1)C=CCC2(C)C,0,,0,0,,,0,,0,0,0,
[N-]=[N+]=[N-].[Na+],0,0,0,0,0,0,0,0,0,0,1,0
CCC=CC=CC=CC=O,0,,0,,,,0,0,0,0,0,0
CCCCCOC(C)=O,0,,0,1,,0,0,,0,0,0,0
O=C1CCCCCCCCCCCCCCCO1,1,,,0,0,0,0,0,,0,0,0
CC(=O)OCC(O)CO,0,0,0,0,1,0,0,0,0,0,0,0
C/C=C\c1ccc(OCc2ccccc2)c(OC)c1,0,0,1,0,0,0,0,0,1,0,0,1
Cc1ccccc1O,,,,,,,,,,0,,
COC(=O)C(C)=O,0,1,0,,0,0,0,0,0,,0,1
